ID,Name,Voivodeship,Population
161,Łowicz,Łódzkie,27687
162,Czerwionka-Leszczyny,Śląskie,27790
163,Gorlice,Małopolskie,26770
164,Kętrzyn,Warmińsko-mazurskie,26609
165,Zakopane,Małopolskie,26662
166,Turek,Wielkopolskie,26201
167,Kłodzko,Dolnośląskie,26172
168,Wyszków,Mazowieckie,26935
169,Biłgoraj,Lubelskie,25978
170,Jarocin,Wielkopolskie,26373
171,Świecie,Kujawsko-pomorskie,25335
172,Pszczyna,Śląskie,25622
173,Żagań,Lubuskie,25110
174,Reda,Pomorskie,26838
175,Wągrowiec,Wielkopolskie,25526
176,Bielsk Podlaski,Podlaskie,24883
177,Wałcz,Zachodniopomorskie,24802
178,Skawina,Małopolskie,24302
179,Białogard,Zachodniopomorskie,23811
180,Kościan,Wielkopolskie,23596
181,Lubliniec,Śląskie,23430
182,Kościerzyna,Pomorskie,23698
183,Kobyłka,Mazowieckie,25563
184,Kluczbork,Opolskie,23131
185,Sandomierz,Świętokrzyskie,22803
186,Bartoszyce,Warmińsko-mazurskie,22785
187,Wieliczka,Małopolskie,24393
188,Szczytno,Warmińsko-mazurskie,22671
189,Środa Wielkopolska,Wielkopolskie,23655
190,Jawor,Dolnośląskie,22301
191,Świebodzice,Dolnośląskie,22539
192,Piastów,Mazowieckie,22382
193,Ostrów Mazowiecka,Mazowieckie,22160
194,Wieluń,Łódzkie,21735
195,Polkowice,Dolnośląskie,22378
196,Goleniów,Zachodniopomorskie,21876
197,Łaziska Górne,Śląskie,22062
198,Nowa Ruda,Dolnośląskie,21386
199,Zambrów,Podlaskie,21853
200,Płońsk,Mazowieckie,21846
201,Lubartów,Lubelskie,21488
202,Koło,Wielkopolskie,21035
203,Grajewo,Podlaskie,21616
204,Świebodzin,Lubuskie,21428
205,Mrągowo,Warmińsko-mazurskie,21179
206,Aleksandrów Łódzki,Łódzkie,21768
207,Rydułtowy,Śląskie,21298
208,Opoczno,Łódzkie,20526
209,Działdowo,Warmińsko-mazurskie,21014
210,Gryfino,Zachodniopomorskie,20792
211,Lubań,Dolnośląskie,20573
212,Prudnik,Opolskie,20502
213,Orzesze,Śląskie,21324
214,Hajnówka,Podlaskie,20141
215,Józefów,Mazowieckie,20768
216,Rawicz,Wielkopolskie,20044
217,Andrychów,Małopolskie,19646
218,Gostyń,Wielkopolskie,20141
219,Trzebinia,Małopolskie,19359
220,Chełmno,Kujawsko-pomorskie,19063
221,Sulejówek,Mazowieckie,19896
222,Bieruń,Śląskie,19328
223,Ozorków,Łódzkie,18988
224,Pułtusk,Mazowieckie,19210
225,Końskie,Świętokrzyskie,18723
226,Pisz,Warmińsko-mazurskie,18890
227,Tomaszów Lubelski,Lubelskie,18612
228,Kamienna Góra,Dolnośląskie,18425
229,Łęczna,Lubelskie,18519
230,Sokołów Podlaski,Mazowieckie,18782
231,Krasnystaw,Lubelskie,18254
232,Szamotuły,Wielkopolskie,18639
233,Wadowice,Małopolskie,18230
234,Kęty,Małopolskie,18372
235,Chodzież,Wielkopolskie,18117
236,Gostynin,Mazowieckie,18265
237,Pyskowice,Śląskie,18368
238,Złotów,Wielkopolskie,18373
239,Pionki,Mazowieckie,17735
240,Myślenice,Małopolskie,18267
241,Nakło nad Notecią,Kujawsko-pomorskie,17917
242,Sokółka,Podlaskie,17872
243,Oborniki,Wielkopolskie,17747
244,Międzyrzecz,Lubuskie,17580
245,Konstantynów Łódzki,Łódzkie,18399
246,Sierpc,Mazowieckie,17698
247,Strzelce Opolskie,Opolskie,17556
248,Radlin,Śląskie,17567
249,Kostrzyn nad Odrą,Lubuskie,17656
250,Łańcut,Podkarpackie,17627
251,Hrubieszów,Lubelskie,17041
252,Zielonka,Mazowieckie,17448
253,Bogatynia,Dolnośląskie,16913
254,Garwolin,Mazowieckie,17563
255,Rawa Mazowiecka,Łódzkie,17119
256,Pleszew,Wielkopolskie,16855
257,Łask,Łódzkie,16830
258,Kozienice,Mazowieckie,16752
259,Przasnysz,Mazowieckie,16979
260,Trzcianka,Wielkopolskie,16924
261,Konstancin-Jeziorna,Mazowieckie,16813
262,Libiąż,Małopolskie,16764
263,Braniewo,Warmińsko-mazurskie,16907
264,Łomianki,Mazowieckie,17114
265,Bytów,Pomorskie,16790
266,Sulechów,Lubuskie,16477
267,Brzesko,Małopolskie,16663
268,Lędziny,Śląskie,16721
269,Radzionków,Śląskie,16883
270,Międzyrzec Podlaski,Lubelskie,16572
271,Słubice,Lubuskie,16510
272,Grójec,Mazowieckie,16714
273,Gubin,Lubuskie,16427
274,Nowogard,Zachodniopomorskie,16366
275,Gryfice,Zachodniopomorskie,16130
276,Namysłów,Opolskie,16603
277,Olecko,Warmińsko-mazurskie,16241
278,Krapkowice,Opolskie,15883
279,Rypin,Kujawsko-pomorskie,15915
280,Milanówek,Mazowieckie,16497
281,Strzegom,Dolnośląskie,15756
282,Dęblin,Lubelskie,15705
283,Ustroń,Śląskie,15932
284,Busko-Zdrój,Świętokrzyskie,15462
285,Ropczyce,Podkarpackie,15867
286,Lidzbark Warmiński,Warmińsko-mazurskie,15420
287,Jelcz-Laskowice,Dolnośląskie,15550
288,Radzyń Podlaski,Lubelskie,15330
289,Złotoryja,Dolnośląskie,15119
290,Łapy,Podlaskie,15347
291,Solec Kujawski,Kujawsko-pomorskie,15563
292,Świdwin,Zachodniopomorskie,15268
293,Ustka,Pomorskie,15047
294,Boguszów-Gorce,Dolnośląskie,15085
295,Przeworsk,Podkarpackie,15017
296,Nisko,Podkarpackie,15132
297,Choszczno,Zachodniopomorskie,14894
298,Limanowa,Małopolskie,15028
299,Jędrzejów,Świętokrzyskie,14706
300,Ząbkowice Śląskie,Dolnośląskie,14677
301,Staszów,Świętokrzyskie,14440
302,Grodzisk Wielkopolski,Wielkopolskie,14700
303,Nowy Tomyśl,Wielkopolskie,14181
304,Chełmża,Kujawsko-pomorskie,14285
305,Siemiatycze,Podlaskie,14131
306,Lipno,Kujawsko-pomorskie,14219
307,Skoczów,Śląskie,14041
308,Kartuzy,Pomorskie,14186
309,Głowno,Łódzkie,13839
310,Ostrzeszów,Wielkopolskie,13904
311,Kępno,Wielkopolskie,13838
312,Łęczyca,Łódzkie,13664
313,Mosina,Wielkopolskie,14280
314,Lubsko,Lubuskie,13647
315,Pszów,Śląskie,13668
316,Wschowa,Lubuskie,13635
317,Żnin,Kujawsko-pomorskie,13489
318,Leżajsk,Podkarpackie,13492
319,Dębno,Zachodniopomorskie,13521
320,Morąg,Warmińsko-mazurskie,13325
321,Nidzica,Warmińsko-mazurskie,13439
322,Barlinek,Zachodniopomorskie,13541
323,Słupca,Wielkopolskie,13505
324,Darłowo,Zachodniopomorskie,13459
325,Gołdap,Warmińsko-mazurskie,13571
326,Człuchów,Pomorskie,13386
327,Tuchola,Kujawsko-pomorskie,13497
328,Wąbrzeźno,Kujawsko-pomorskie,13326
329,Głuchołazy,Opolskie,13282
330,Brwinów,Mazowieckie,13671
331,Chojnów,Dolnośląskie,13107
332,Trzebnica,Dolnośląskie,13338
333,Włodawa,Lubelskie,12839
334,Wolsztyn,Wielkopolskie,12767
335,Koluszki,Łódzkie,12723
336,Niepołomice,Małopolskie,14295
337,Kłobuck,Śląskie,12709
338,Złocieniec,Zachodniopomorskie,12639
339,Radzymin,Mazowieckie,13407
340,Rabka-Zdrój,Małopolskie,12626
341,Węgrów,Mazowieckie,12427
342,Golub-Dobrzyń,Kujawsko-pomorskie,12318
343,Pyrzyce,Zachodniopomorskie,12435
344,Głubczyce,Opolskie,12348
345,Brzeziny,Łódzkie,12329
346,Sławno,Zachodniopomorskie,12288
347,Brzeg Dolny,Dolnośląskie,12440
348,Strzelin,Dolnośląskie,12373
349,Wołów,Dolnośląskie,12252
350,Błonie,Mazowieckie,12063
351,Aleksandrów Kujawski,Kujawsko-pomorskie,11974
352,Pasłęk,Warmińsko-mazurskie,12085
353,Lubaczów,Podkarpackie,11744
354,Góra Kalwaria,Mazowieckie,11934
355,Janów Lubelski,Lubelskie,11585
356,Warka,Mazowieckie,11921
357,Szprotawa,Lubuskie,11447
358,Dąbrowa Tarnowska,Małopolskie,11844
359,Mogilno,Kujawsko-pomorskie,11553
360,Góra,Dolnośląskie,11488
361,Szydłowiec,Mazowieckie,11461
362,Drawsko Pomorskie,Zachodniopomorskie,11343
363,Miechów,Małopolskie,11420
364,Ożarów Mazowiecki,Mazowieckie,12665
365,Zdzieszowice,Opolskie,11186
366,Wasilków,Podlaskie,11882
367,Krosno Odrzańskie,Lubuskie,11079
368,Milicz,Dolnośląskie,11139
369,Węgorzewo,Warmińsko-mazurskie,11155
370,Puck,Pomorskie,11089
371,Myślibórz,Zachodniopomorskie,11021
372,Brzeszcze,Małopolskie,11002
373,Wronki,Wielkopolskie,10992
374,Koronowo,Kujawsko-pomorskie,11004
375,Nowa Dęba,Podkarpackie,10977
376,Wisła,Śląskie,10964
377,Rogoźno,Wielkopolskie,11064
378,Kowary,Dolnośląskie,10565
379,Nowe Miasto Lubawskie,Warmińsko-mazurskie,10657
380,Pińczów,Świętokrzyskie,10437
381,Czarnków,Wielkopolskie,10373
382,Krynica-Zdrój,Małopolskie,10353
383,Parczew,Lubelskie,10476
384,Międzychód,Wielkopolskie,10446
385,Biskupiec,Warmińsko-mazurskie,10576
